SPd,ANG,TRQ,ANOMALY
2.5,-72,2401,0
2.5,-72,2379,0
2.5,-73,2385,0
2.5,-73,2384,0
2.5,-73,2410,0
2.5,-73,2381,0
2.5,-73,2383,0
2.5,-74,2403,0
2.5,-74,2437,0
2.5,-76,2447,0
2.5,-76,2432,0
2.5,-76,2435,0
2.5,-76,2443,0
2.5,-77,2425,0
2.5,-77,2502,0
2.5,-78,2487,0
2.5,-77,2466,0
2.5,-79,2509,0
2.5,-79,2540,0
2.5,-80,2501,0
2.5,-80,2525,0
2.5,-80,2512,0
2.5,-82,2505,0
2.5,-81,2530,0
2.5,-82,2579,0
2.5,-82,2572,0
2.5,-80,2502,0
2.5,-81,2580,0
2.5,-81,2541,0
2.5,-81,2521,0
2.5,-80,2503,0
2.5,-80,2542,0
2.5,-80,2574,0
2.5,-81,2534,0
2.5,-81,2545,0
2.5,-80,2554,0
2.5,-79,2550,0
2.5,-80,2545,0
2.5,-79,2512,0
2.5,-80,2517,0
2.5,-80,2564,0
2.5,-81,2538,0
2.5,-80,2537,0
2.5,-80,2578,0
2.5,-80,2559,0
2.5,-80,2518,0
2.5,-80,2535,0
2.5,-80,2553,0
2.5,-79,2526,0
2.5,-80,2570,0
2.5,-80,2577,0
2.5,-81,2558,0
2.5,-82,2550,0
2.5,-80,2555,0
2.5,-80,2563,0
2.5,-81,2581,0
2.5,-80,2527,0
2.5,-79,2533,0
2.5,-79,2546,0
2.5,-79,2521,0
2.5,-77,2516,0
2.5,-76,2488,0
2.5,-74,2480,0
2.5,-73,2503,0
2.5,-69,2394,0
2.5,-62,2376,0
2.5,-54,2442,0
2.5,-46,2442,0
2.5,-34,2442,0
2.5,-20,2442,0
2.5,-7,2442,0
2.5,1,2442,0
2.5,3,2441,0
2.5,2,2442,0
2.5,-3,2442,0
2.5,-16,2442,0
2.5,-27,2442,0
2.5,-41,2442,0
2.5,-51,2442,0
2.5,-58,2442,0
2.5,-62,2383,0
2.5,-61,2431,0
2.5,-55,2442,0
2.5,-55,2443,0
2.5,-53,2442,0
2.5,-40,2442,0
2.5,-32,2443,0
2.5,-27,2443,0
2.5,-14,2442,0
2.5,-8,2443,0
2.5,5,2443,0
2.5,10,2442,0
2.5,16,2442,0
2.5,21,2442,0
2.5,27,2442,0
2.5,34,2442,0
2.5,43,2442,0
2.5,50,2442,0
2.5,59,2442,0
2.5,73,2472,0
2.5,72,2479,0
2.5,57,2442,0
2.5,76,2663,0
2.5,72,2423,0
2.5,78,2696,0
2.5,79,2678,0
2.5,79,2624,0
2.5,81,2680,0
2.5,82,2696,0
2.5,84,2697,0
2.5,85,2694,0
2.5,85,2696,0
2.5,86,2697,0
2.5,89,2697,0
2.5,90,2694,0
2.5,92,2669,0
3,93,2693,0
3,93,2697,0
3,93,2614,0
3,94,2697,0
3,93,2673,0
3,94,2670,0
3,93,2578,0
3,94,2671,0
3,93,2678,0
3,93,2689,0
3,94,2676,0
3,94,2657,0
3,92,2697,0
3,92,2679,0
3,92,2684,0
3,91,2696,0
3,90,2697,0
3,90,2694,0
3,88,2696,0
3,88,2697,0
3,86,2685,0
3,86,2689,0
3,85,2697,0
3,84,2676,0
3,83,2697,0
3,83,2686,0
3,81,2678,0
3,82,2694,0
3,81,2662,0
3,80,2682,0
3,79,2668,0
3,78,2671,0
3,79,2664,0
3,77,2647,0
3,77,2669,0
3,76,2671,0
3,75,2638,0
3,74,2500,0
3,73,2588,0
3,70,2556,0
3,67,2587,0
3,65,2498,0
3,59,2514,0
3,55,2442,0
3,57,2442,0
3,54,2442,0
3,48,2442,0
3,42,2442,0
3,36,2442,0
3,32,2442,0
3,30,2442,0
3,31,2442,0
3,29,2442,0
3,28,2442,0
3,26,2442,0
3,24,2443,0
3,20,2442,0
3,15,2442,0
3,10,2442,0
3,4,2442,0
3,-1,2442,0
3,-5,2442,0
3,-11,2441,0
3,-14,2442,0
3,-15,2442,0
3,-17,2443,0
3,-21,2441,0
3,-26,2442,0
3,-29,2443,0
3,-34,2442,0
3,-40,2442,0
3,-45,2442,0
3,-49,2442,0
3,-52,2442,0
3,-54,2443,0
3,-55,2442,0
3,-55,2443,0
3,-56,2442,0
3,-61,2442,0
3,-71,2398,0
3,-73,2380,0
3,-65,2397,0
3,-68,2383,0
3,-73,2416,0
3,-74,2383,0
3,-74,2382,0
3,-76,2394,0
3,-76,2439,0
3,-76,2397,0
3,-77,2422,0
3,-77,2447,0
3,-77,2466,0
3,-78,2428,0
3,-78,2477,0
3,-77,2461,0
3,-77,2434,0
3,-75,2472,0
3,-76,2500,0
3,-76,2457,0
3,-76,2491,0
3,-76,2482,0
3,-77,2481,0
3,-74,2462,0
3,-75,2460,0
3,-74,2446,0
3,-74,2443,0
3,-73,2463,0
3,-73,2423,0
3,-73,2437,0
3,-73,2420,0
3,-73,2426,0
3,-73,2447,0
3,-74,2430,0
3,-74,2441,0
3,-75,2440,0
3,-73,2401,0
3,-74,2429,0
3,-75,2443,0
3,-75,2437,0
3,-77,2500,0
3,-78,2493,0
3,-79,2480,0
3,-79,2500,0
3,-79,2531,0
3,-79,2484,0
3,-79,2545,0
3,-79,2560,0
3,-80,2537,0
3,-80,2538,0
3,-81,2577,0
3,-80,2528,0
3,-80,2513,0
3,-78,2511,0
3,-77,2482,0
3,-77,2489,0
3,-77,2475,0
3,-76,2447,0
3,-75,2502,0
3,-74,2480,0
3,-73,2429,0
3,-72,2443,0
3,-69,2402,0
3,-65,2384,0
3,-61,2373,0
3,-59,2442,0
3,-60,2434,0
3,-62,2381,0
3,-63,2405,0
3,-64,2385,0
3,-64,2384,0
3,-67,2374,0
3,-67,2386,0
3,-67,2383,0
3,-69,2374,0
3,-68,2392,0
3,-68,2386,0
3,-68,2379,0
3,-69,2400,0
3,-70,2429,0
3,-69,2407,0
3,-70,2422,0
3,-69,2424,0
3,-69,2415,0
3,-70,2376,0
3,-69,2377,0
3,-68,2381,0
3,-67,2391,0
3,-67,2397,0
3,-67,2379,0
3,-65,2383,0
3,-64,2388,0
3,-63,2381,0
3,-62,2377,0
3,-60,2416,0
3,-57,2442,0
3,-56,2441,0
3,-64,2373,0
3,-66,2374,0
3,-68,2375,0
3,-70,2382,0
3,-72,2376,0
3,-73,2404,0
3,-75,2470,0
3,-75,2466,0
3,-76,2511,0
3,-78,2518,0
3,-79,2524,0
3,-79,2468,0
3,-83,2524,0
3,-81,2538,0
3.5,-81,2553,0
3.5,-82,2536,0
3.5,-83,2533,0
3.5,-82,2529,0
3.5,-83,2528,0
3.5,-83,2561,0
3.5,-85,2580,0
3.5,-84,2571,0
3.5,-84,2585,0
3.5,-87,2596,0
3.5,-86,2597,0
3.5,-87,2569,0
3.5,-87,2595,0
3.5,-88,2570,0
3.5,-87,2555,0
3.5,-88,2571,0
3.5,-89,2615,0
3,-87,2590,0
3,-90,2579,0
3,-89,2576,0
3,-91,2552,0
3,-92,2578,0
3,-91,2585,0
3,-92,2574,0
3,-94,2591,0
3,-94,2612,0
3,-94,2575,0
3,-95,2617,0
3,-94,2587,0
3,-94,2559,0
3,-94,2601,0
3,-95,2611,0
3,-95,2594,0
3,-97,2612,0
3.5,-97,2644,0
3.5,-96,2607,0
3.5,-97,2680,0
3.5,-99,2634,0
3.5,-101,2740,0
3.5,-105,2729,0
3.5,-103,2718,0
3.5,-101,2682,0
3.5,-105,2780,0
3,-106,2774,0
3,-114,2942,0
3,-114,2897,0
3,-117,2966,0
3,-119,2999,0
3,-120,2974,0
3,-122,3035,0
3,-125,3010,0
3,-122,3006,0
3.5,-122,3020,0
3.5,-123,3009,0
3.5,-119,3007,0
3.5,-123,3046,0
3.5,-124,3046,0
3.5,-121,3039,0
3.5,-116,3022,0
3.5,-117,3031,0
3.5,-115,3049,0
3.5,-117,3038,0
3.5,-115,3000,0
3.5,-113,3042,0
3.5,-115,3040,0
3.5,-112,2975,0
3.5,-115,3009,0
3.5,-108,2884,0
3.5,-111,3004,0
3.5,-104,2825,0
3.5,-106,2821,0
3.5,-105,2831,0
3.5,-101,2796,0
3.5,-104,2871,0
3.5,-101,2844,0
3.5,-101,2807,0
3.5,-99,2738,0
3.5,-98,2727,0
3.5,-97,2700,0
3.5,-96,2741,0
3.5,-95,2671,0
3.5,-93,2650,0
3.5,-92,2619,0
3.5,-92,2646,0
3.5,-89,2582,0
3.5,-88,2598,0
3.5,-86,2580,0
3.5,-82,2579,0
3.5,-82,2524,0
3.5,-79,2475,0
3.5,-78,2492,0
3.5,-76,2485,0
3.5,-74,2445,0
3.5,-72,2424,0
3.5,-67,2390,0
3.5,-55,2435,0
3.5,-38,2442,0
3.5,-22,2442,0
3.5,-7,2442,0
3.5,7,2442,0
3.5,17,2442,0
3.5,22,2442,0
3.5,25,2442,0
3.5,31,2443,0
3.5,39,2442,0
3.5,47,2442,0
3.5,55,2442,0
3.5,64,2426,0
3.5,74,2593,0
3.5,68,2530,0
3.5,65,2488,0
3.5,70,2555,0
3.5,71,2548,0
