SPD,ANG,TRQ,ANOMALY
31,29,2442,0
31,35,2442,0
31,55,2443,0
31,52,2441,0
31,49,2442,0
31,50,2443,0
31,49,2441,0
31,44,2442,0
31,38,2442,0
31,31,2442,0
31,27,2442,0
31,26,2442,0
31,24,2441,0
31,28,2442,0
31,30,2442,0
31,30,2441,0
30.5,31,2442,0
30.5,31,2443,0
30.5,30,2442,0
30.5,26,2442,0
30.5,24,2442,0
30,23,2442,0
30,22,2442,0
30,22,2443,0
30.5,22,2441,0
30,33,2442,0
30,38,2442,0
30,64,2426,0
30,65,2410,0
30,66,2472,0
30,67,2486,0
30,66,2467,0
30,63,2447,0
30,63,2466,0
30,65,2491,0
29.5,67,2467,0
29.5,63,2476,0
29.5,65,2506,0
29.5,65,2478,0
29.5,65,2435,0
29.5,66,2453,0
29.5,66,2468,0
29.5,64,2459,0
29.5,62,2442,0
29.5,56,2442,0
29.5,55,2442,0
29.5,52,2442,0
29.5,47,2442,0
29.5,43,2442,0
29.5,43,2441,0
29.5,40,2442,0
29.5,41,2442,0
29.5,41,2443,0
29.5,42,2442,0
29.5,44,2442,0
29.5,46,2442,0
29.5,49,2441,0
29.5,49,2442,0
29.5,45,2442,0
29.5,39,2442,0
29.5,35,2442,0
29.5,32,2442,0
29.5,33,2442,0
29.5,30,2442,0
29.5,29,2442,0
29.5,28,2442,0
29.5,27,2442,0
29.5,26,2442,0
29.5,24,2443,0
29.5,23,2442,0
29.5,21,2442,0
29.5,20,2442,0
29.5,18,2442,0
29.5,15,2442,0
29.5,10,2441,0
29.5,4,2442,0
29.5,-1,2442,0
29.5,-8,2442,0
29.5,-15,2442,0
29.5,-17,2442,0
29.5,-21,2442,0
29.5,-23,2442,0
70,-78,3663,1
70,-96,3663,1
70,-104,3663,1
70,-98,3663,1
70,-96,3664.5,1
70,-96,3661.5,1
70,-94,3663,1
70,-100,3663,1
70,-102,3661.5,1
70,-106,3663,1
70,-112,3664.5,1
70,-128,3625.5,1
70,-138,3667.5,1
70,-140,3568.5,1
70,-132,3562.5,1
70,-142,3585,1
70,-146,3562.5,1
70,-140,3567,1
70,-134,3567,1
70,-134,3579,1
70,-132,3600,1
70,-148,3594,1
70,-154,3616.5,1
70,-138,3603,1
70,-126,3571.5,1
70,-142,3561,1
70,-134,3589.5,1
70,-144,3580.5,1
70,-144,3583.5,1
70,-142,3579,1
70,-140,3574.5,1
70,-140,3583.5,1
70,-134,3576,1
70,-124,3592.5,1
70,-116,3661.5,1
70,-98,3664.5,1
70,-92,3663,1
70,-112,3663,1
70,-122,3664.5,1
71.25,-124,3663,1
71.25,-118,3663,1
71.25,-116,3663,1
71.25,-112,3663,1
71.25,-100,3661.5,1
71.25,-82,3663,1
71.25,-58,3661.5,1
71.25,-46,3663,1
71.25,-34,3664.5,1
71.25,-24,3663,1
71.25,-14,3661.5,1
71.25,10,3663,1
71.25,14,3663,1
71.25,22,3663,1
71.25,36,3663,1
71.25,38,3663,1
71.25,44,3663,1
71.25,46,3663,1
71.25,50,3663,1
71.25,58,3663,1
71.25,66,3663,1
71.25,78,3663,1
71.25,86,3663,1
71.25,90,3663,1
71.25,94,3663,1
71.25,94,3661.5,1
71.25,96,3663,1
71.25,96,3661.5,1
71.25,92,3663,1
71.25,90,3661.5,1
71.25,88,3663,1
71.25,82,3663,1
71.25,80,3663,1
71.25,82,3661.5,1
71.25,84,3663,1
71.25,84,3661.5,1
71.25,102,3663,1
71.25,100,3661.5,1
71.25,104,3663,1
71.25,106,3663,1
71.25,104,3661.5,1
71.25,106,3661.5,1
71.25,100,3663,1
71.25,98,3663,1
71.25,80,3664.5,1
71.25,68,3661.5,1
73.75,34,3663,1
73.75,18,3663,1
73.75,0,3663,1
73.75,-14,3663,1
73.75,-28,3663,1
73.75,-40,3663,1
73.75,-44,3663,1
73.75,-50,3663,1
73.75,-52,3663,1
73.75,-58,3661.5,1
73.75,-68,3663,1
73.75,-76,3663,1
73.75,-88,3663,1
73.75,-96,3663,1
73.75,-110,3663,1
30,-55,2442,0
30,-59,2442,0
30,-60,2443,0
30,-61,2442,0
30,-62,2442,0
30,-63,2420,0
30,-63,2410,0
30,-63,2403,0
30,-64,2408,0
30,-65,2419,0
30,-68,2424,0
30,-70,2374,0
30,-67,2400,0
30,-62,2388,0
30,-64,2424,0
30,-71,2386,0
30,-73,2379,0
30,-69,2382,0
30,-64,2419,0
30,-69,2392,0
30,-71,2379,0
30,-73,2392,0
30,-73,2385,0
30,-73,2380,0
30,-74,2387,0
30,-73,2378,0
30,-73,2372,0
30,-73,2383,0
30,-73,2390,0
30,-73,2386,0
30,-69,2389,0
30,-70,2373,0
30,-70,2382,0
30,-69,2386,0
30,-69,2385,0
30,-68,2377,0
30,-65,2382,0
30,-64,2406,0
30,-57,2442,0
30,-56,2442,0
30,-54,2442,0
30,-53,2442,0
30,-51,2443,0
30,-51,2442,0
30,-49,2442,0
30,-48,2442,0
30,-46,2442,0
30,-43,2442,0
30,-39,2442,0
30,-37,2442,0
30,-33,2442,0
30,-31,2442,0
30,-29,2442,0
30,-17,2442,0
30,-14,2442,0
30,-11,2442,0
30,-10,2442,0
30,-6,2442,0
30,-5,2442,0
30,-4,2442,0
30,-3,2441,0
30,0,2442,0
30,1,2442,0
30,6,2442,0
30,11,2442,0
30,15,2442,0
30,17,2442,0
30,17,2441,0
30,18,2443,0
30,19,2442,0
30,20,2442,0
30,20,2443,0
30,21,2443,0
30,24,2442,0
30,25,2442,0
30,31,2442,0
30,34,2442,0
30,37,2442,0
30,39,2442,0
30,42,2443,0
30,-22,2441,0
30,-29,2443,0
30,-36,2442,0
30,-40,2442,0
30,-42,2442,0
30,-43,2441,0
30,-38,2441,0
30,-35,2442,0
30,-22,2442,0
30,-19,2442,0
30,-15,2442,0
30,-23,2442,0
30,-65,2401,0
30,-65,2378,0
30,-63,2448,0
30,-63,2409,0
30,-72,2387,0
30,-75,2376,0
30,-75,2390,0
30,-67,2374,0
30,-66,2405,0
30,-74,2377,0
30,-75,2375,0
30,-75,2374,0
30,-73,2375,0
30,-75,2404,0
30,-78,2411,0
30,-78,2430,0
30,-76,2400,0
30,-76,2382,0
30,-76,2379,0
30,-78,2435,0
30,-78,2417,0
30,-78,2425,0
30,-76,2380,0
30,-78,2395,0
30,-78,2403,0
30,-77,2401,0
30,-77,2415,0
30,-77,2382,0
30,-77,2392,0
30,-76,2411,0
30,-76,2415,0
30,-77,2388,0
30,-76,2389,0
30,-77,2425,0
30,-77,2413,0
30,-77,2380,0
30,-74,2414,0
30,-74,2380,0
30,-74,2379,0
30,-69,2383,0
30,-67,2389,0
30,-66,2375,0
30,-63,2404,0
30,-59,2441,0
30,-58,2443,0
30,-41,2442,0
30,-24,2442,0
30,-18,2442,0
30,-12,2442,0
30,-6,2443,0
30,-3,2442,0
30,-1,2442,0
30,2,2442,0
30,1,2441,0
30,0,2441,0
30,0,2443,0
30,4,2442,0
30,10,2442,0
30,13,2442,0
29.5,19,2442,0
29.5,22,2441,0
29.5,24,2442,0
29.5,29,2441,0
29.5,34,2443,0
29.5,36,2442,0
29.5,38,2442,0
29.5,48,2442,0
29.5,53,2442,0
30,45,2441,0
30,46,2443,0
30,30,2442,0
30,27,2442,0
30,29,2442,0
30,62,2441,0
30,63,2442,0
30,59,2441,0
30,58,2441,0
30.5,49,2442,0
30.5,47,2442,0
30.5,44,2442,0
30.5,42,2442,0
30.5,39,2442,0
30.5,43,2442,0
30.5,50,2442,0
30.5,63,2425,0
30.5,66,2430,0
30.5,69,2473,0
30.5,67,2514,0
30.5,61,2441,0
30.5,57,2441,0
30.5,54,2442,0
30.5,52,2443,0
30.5,53,2442,0
30.5,64,2510,0
30.5,65,2488,0
30.5,65,2458,0
30.5,64,2414,0
30.5,64,2424,0
30.5,64,2439,0
30.5,64,2497,0
30.5,64,2462,0
30.5,64,2429,0
30.5,64,2418,0
